先生はジョンを叱った。|せんせいはジョンをしかった。
昨日は夜、仕事でとても疲れた。|きのうはよる、しごとでとてもれつかれた。
父は交通事故で入院しました。|ちちはこうつうじこでにゅういんしました。
山口さんは病気でした。|やまぐちさんはびょうきでした。
山口さんは学校を休みました。|やまぐちさんはがっこうをみやすみました。
卵でアレルギーになる。|たまごでアレルギーになる。
卵でオムレツを作る。|たまごでオムレツをるつくる。
春学期は五月十日で終わります。|はるがっきはごがつとおかでわりおわります。
このコンサートは十時で終わります。|このコンサートはじゅうじでわりおわります。
私のパスポートは六月で切れる。|わたしのパスポートはろくがつでれきれる。
アメリカに来てから今日で三年になる。|アメリカにてきてからきょうでさんねんになる。
山田さんは一週間でそのレポートを書いた。|やまださんはいっしゅうかんでそのレポートをいかいた。
春学期は五月十日に終わる。|はるがっきはごがつとおかにわおわる。
ジョンは車でシカゴへ行った。|ジョンはくるまでシカゴへいった。
私達は英語で話した。|わたしたちはえいごでしはなした。
その家は台風で壊れた。|そのいえはたいふうでれこわれた。
僕は試験で行けなかった。|はぼくはしけんでけいけなかった。
私は毛糸で靴下を編んだ。|わたしはけいとでくつしたをあんだ。
道子はいつも図書館で勉強する。|みちこはいつもとしょかんでべんきょうする。
木村さんは三日でこのレポートを書いた。|きむらさんはみっかでこのレポートをいかいた。
仕事は五時で終わります。|しごとはごじでわりおわります。
私はこの本を十ドルで買った。|わたしはこのほんをじゅうドルでかった。
先生でも間違う。|せんせいでもうまちがう。
私は難しい仕事でもします。|わたしはしいむずかしいしごとでもします。
ここからでも富士山が見える。|ここからでもふじさんがえみえる。
子供でもそんなことは分かりますよ。|こどもでもそんなことはかわかりますよ。
お会いしたいんですが、日曜日でもかまいませんか。|おあいしたいんですが、にちようびでもいかまいませんか。
あの人は魚でも肉でも食べます。|あのひとはさかなでもにくでもべたべます。
あの図書館は誰でも入れます。|あのとしょかんはだれでもれいれます。
いつでもかまいませんよ。|いつでもかまいませんよ。
日本でもインフレが大きな問題になっている。|にほんでもインフレがきおおきなもんだいになっている。
そこはバスでも行けますか。|そこはバスでもけいけますか。
お母さんはどうですか。|おさんかあさんはどうですか。
新しいアパートはどうですか。|あたらしいアパートはどうですか。
コーヒーはどうですか。|コーヒーはどうですか。
土曜日はどう？|どようびはどう
この言葉はどう読みますか。|このことばはどうみよみますか。
どうして日本語を勉強しているんですか。|どうしてにほんごをべんきょうしているんですか。
